studyYear,replicate,plotNumber,rowNumber,colNumber,Chalky seeds|LSU_01:0000107,Days to heading|LSU_01:0000130,Grain length average|LSU_01:0000102,Grain length-width ratio average|LSU_01:0000105,Grain whiteness average|LSU_01:0000106,Grain width average|LSU_01:0000103,Harvest moisture|LSU_01:0000136,Harvest weight|LSU_01:0000137,Lodging|LSU_01:0000135,Plant height|LSU_01:0000132,Plot stand near flood|LSU_01:0000133,Ratoon moisture|LSU_01:0000139,Ratoon weight|LSU_01:0000140,Ratoon yield|LSU_01:0000141,Seedling vigor|LSU_01:0000131,Total milling percentage|LSU_01:0000101,Whole milling percentage|LSU_01:0000100,Yield
2022,2,33,9,1,20.4,86,7.25,3.22,41.3,2.25,16.3,16.78,0,96,5,13.1,1.06,697.9048613,3,69.34,59.12,10641.13606
2022,2,26,7,2,12.5,89,7.19,3.38,41.6,2.13,17.8,15.88,0,90,7,14,1.08,703.7084864,5,71.54,65.01,9889.922704
2022,2,36,9,4,9.2,87,5.99,2.3,39.8,2.6,21,16.95,0,96,7,12.2,1.12,745.0460564,5,67.16,63.55,10145.35797
2022,1,10,2,3,10.9,88,6.78,3.01,36.9,2.25,18.4,13.09,0,92,7,13.3,1.22,801.4003169,5,67.28,60.57,8092.82943
2022,1,1,1,1,16.2,86,6.45,2.79,40.4,2.31,15.4,12.37,0,85,5,14.2,3.02,1963.201208,5,67.63,59.32,7928.858079
2022,1,23,4,2,18.2,89,6.68,3.01,43.1,2.22,17.2,17.47,0,97,9,15.4,1.02,653.7942798,3,65.62,52.26,10959.57779
2022,1,8,2,5,14.5,88,6.97,3.1,41.1,2.25,16.2,14.89,0,92,7,14.5,1.02,660.7495381,5,67.68,56.63,9453.862861
2022,1,17,3,5,19.8,86,7.01,2.95,40.3,2.38,17.1,14.94,0,89,7,14.4,1.32,856.08774,3,67.69,57.86,9383.734461
2022,1,4,1,4,22.7,85,6.9,2.94,40.4,2.35,16,13.66,0,95,9,12.6,0.91,602.5920624,3,68.05,59.41,8693.618277
2022,1,11,2,2,12.7,88,6.09,2.21,37.2,2.76,17.4,12.81,0,82,5,13.9,2.13,1389.483317,5,69.58,66.14,8016.776181
2022,1,16,3,4,20,93,5.83,2.18,37.5,2.68,23.4,13.16,0,94,7,14,1.22,794.9299568,5,63.07,59.47,7637.57065
2022,1,22,4,3,10.7,86,6.02,2.2,36.1,2.74,15.4,12.8,0,81,7,13.7,2.13,1392.71092,3,70.65,68.03,8204.477236
2022,1,13,3,1,15.5,89,6.9,2.92,42.3,2.36,15.2,12.96,0,90,9,16.7,1.79,1129.714269,3,64.3,51.96,8326.671578
2022,1,19,4,6,17.3,81,6.98,2.92,38.8,2.39,17.7,15.07,0,95,7,13.7,1.99,1301.171235,5,67.78,59.55,9396.879748
2022,1,18,3,6,6.4,89,6.89,3.01,40.1,2.29,16.4,11.79,0,93,7,12.6,0.89,589.3482808,5,69.37,60.89,7467.765368
2022,1,20,4,5,15.4,89,6.27,2.61,40.9,2.4,18.1,14.24,0,89,9,3.65,0.23,167.8997837,5,63.53,54.31,8836.178343
2022,1,2,1,2,12.8,92,6.47,2.68,40.4,2.41,21,17.96,0,99,5,15.2,2.58,1657.624435,7,66.14,61.22,10749.88963
2022,1,14,3,2,8.8,88,7.06,3.19,38.4,2.21,12.9,10.61,0,92,7,16.3,2.82,1788.319648,3,66.72,53.8,7001.710026
2022,1,9,2,4,23.7,85,6.79,2.99,37.5,2.27,17.9,14.18,0,89,9,13.2,1.19,782.5953593,5,66.03,57.25,8820.434305
2022,1,21,4,4,7.9,84,7.04,3.24,35.5,2.17,19.3,14.46,0,95,7,12.8,1.47,971.1904459,5,67.35,58.47,8841.224314
2022,1,24,4,1,20.4,84,6.87,3.07,38.4,2.24,15.4,13.76,0,92,9,15.9,2.43,1548.363236,3,65.83,55.62,8819.813029
2022,1,6,1,6,15.6,86,6.4,2.84,42.3,2.25,17.2,14.39,0,85,9,14.6,2.04,1319.953463,5,68.61,62.23,9027.379757
2022,1,15,3,3,16,88,5.91,2.17,39.8,2.72,20.1,13.08,0,90,9,13.5,1.44,943.7330864,3,66.69,62.67,7918.175166
2022,1,7,2,6,13.7,86,6.05,2.22,38.1,2.73,19.8,14.44,0,93,7,13.7,1.91,1248.862844,5,67.63,65.28,8774.293212
2022,1,12,2,1,17.9,85,6.79,2.94,38.8,2.31,15.4,14.14,0,90,9,15.2,1.64,1053.683749,3,67.85,58.88,9063.383447
2022,1,3,1,3,16.7,86,6.7,2.86,41.5,2.34,15.9,13.68,0,93,9,16.4,2.99,1893.860768,3,65.75,53.17,8716.711553
